IZDELEK-ime;IZDELEK-id;KOLIÈINA;CENA;VRSTA-ime;VRSTA-id;TRGOVINA-ime;TRGOVINA-id;TRGOVINA-naslov;PODJETJE-ime;PODJETJE-id;PODJETJE-naslov;PODJETJE-tel.št.
alpsko mleko, 3,5%m.m.;S1158;1l;1,09 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Ljubljanske mlekarne d.d.;11139;Tolstojeva 63, Ljubljana, Slovenija;080 11 46
alpsko mleko, 3,5%m.m.;S1161;500ml;0,81 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Ljubljanske mlekarne d.d.;11139;Tolstojeva 63, Ljubljana, Slovenija;080 11 46
alpsko mleko z omega 3, 1,5%m.m.;S1164;1l;1,45 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Ljubljanske mlekarne d.d.;11139;Tolstojeva 63, Ljubljana, Slovenija;080 11 46
alpsko mleko brez laktoze, 1,5%m.m.;S1197;1l;1,57 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Ljubljanske mlekarne d.d.;11139;Tolstojeva 63, Ljubljana, Slovenija;080 11 46
jogurtov napitek slim & vital, ego, 1,1%m.m.;S1200;250g;0,78 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Ljubljanske mlekarne d.d.;11139;Tolstojeva 63, Ljubljana, Slovenija;080 11 46
jogurtov napitek tropik slim & vital, ego, 1,1%m.m.;S1203;250g;0,78 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Ljubljanske mlekarne d.d.;11139;Tolstojeva 63, Ljubljana, Slovenija;080 11 46
jogurtov napitek jagoda slim & vital, ego, 1,1%m.m.;S1206;250g;0,78 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Ljubljanske mlekarne d.d.;11139;Tolstojeva 63, Ljubljana, Slovenija;080 11 46
jogurtov napitek breskev slim & vital, ego, 1,1%m.m.;S1209;250g;0,78 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Ljubljanske mlekarne d.d.;11139;Tolstojeva 63, Ljubljana, Slovenija;080 11 46
jogurtov napitek malina z žiti slim & vital, ego, 1,1%m.m.;S1212;250g;0,78 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Ljubljanske mlekarne d.d.;11139;Tolstojeva 63, Ljubljana, Slovenija;080 11 46
sveže mleko polnomastno mu, 3,5%m.m.;S1218;1l;1,20 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Ljubljanske mlekarne d.d.;11139;Tolstojeva 63, Ljubljana, Slovenija;080 11 46
sveže mleko polposnetomu, 1,5%m.m.;S1221;1l;1,15 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Ljubljanske mlekarne d.d.;11139;Tolstojeva 63, Ljubljana, Slovenija;080 11 46
jogurtov napitek gozdni sadeži slim & vital, ego;S1278;250g;0,78 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Ljubljanske mlekarne d.d.;11139;Tolstojeva 63, Ljubljana, Slovenija;080 11 46
kefir ego;S1311;33g;0,88 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Ljubljanske mlekarne d.d.;11139;Tolstojeva 63, Ljubljana, Slovenija;080 11 46
smoothie bjagoda banana mu;S1314;1l;2,95 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Ljubljanske mlekarne d.d.;11139;Tolstojeva 63, Ljubljana, Slovenija;080 11 46
smoothie breskev pomaranèa mu;S1317;1l;2,95 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Ljubljanske mlekarne d.d.;11139;Tolstojeva 63, Ljubljana, Slovenija;080 11 46
alpsko mleko brez laktoze, 3,5%m.m.;S1329;1l;1,56 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Ljubljanske mlekarne d.d.;11139;Tolstojeva 63, Ljubljana, Slovenija;080 11 46
leskovaèka klobasica;S849;1kg;9,30 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Mesarija Mlinariè, d.o.o.;11155;Železniška ulica 1, 4248 Lesce, Slovenija;04 531 83 32
grill klobasa;S846;400g;3,29 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Mesnine Žerak, d.o.o.;11163;Strmolska ulica 9, 3252 Rogatec, Slovenija;03 818 26 70
pleskavica anton meso kamnik;S828;480g;4,10 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Meso Kamnik d.d.;11167;Korenova cesta 9, 1241 Kamnik, Slovenija;01 831 05 73
svinjski zrezek minutka;S855;1kg;9,95 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Meso Kamnik d.d.;11167;Korenova cesta 9, 1241 Kamnik, Slovenija;01 831 05 73
klobasa pikant za žar anton;S858;1kg;9,53 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Meso Kamnik d.d.;11167;Korenova cesta 9, 1241 Kamnik, Slovenija;01 831 05 73
svinjski hrbet brez kosti zaèinjen;S861;1kg;10,48 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Meso Kamnik d.d.;11167;Korenova cesta 9, 1241 Kamnik, Slovenija;01 831 05 73
kislo mleko èvrsto, zelene doline, 3,2%m.m.;S1038;180g;0,48 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Mlekarna Celeia d.o.o.;11171;Arja vas 92, 3301 Petrovèe, Slovenija;080 12 47
sveže polno mleko zelene doline, 3,5%m.m.;S1041;1l;1,08 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Mlekarna Celeia d.o.o.;11171;Arja vas 92, 3301 Petrovèe, Slovenija;080 12 47
kislo mleko, tekoèe, zelene doline, 3,2%m.m.;S1053;500g;1,07 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Mlekarna Celeia d.o.o.;11171;Arja vas 92, 3301 Petrovèe, Slovenija;080 12 47
trajno mleko zele doline, 3,5%m.m.;S1281;1l;1,03 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Mlekarna Celeia d.o.o.;11171;Arja vas 92, 3301 Petrovèe, Slovenija;080 12 47
trajno mleko brez laktoze zelene doline, 1,5%m.m.;S1290;1l;1,01 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Mlekarna Celeia d.o.o.;11171;Arja vas 92, 3301 Petrovèe, Slovenija;080 12 47
trajno mleko brez laktoze zelene doline, 3,5%m.m.;S1323;1l;1,52 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Mlekarna Celeia d.o.o.;11171;Arja vas 92, 3301 Petrovèe, Slovenija;080 12 47
sirotka;S924;500ml;0,69 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Mlekarna Planika d.o.o.;11175;Gregorèièeva 32, 5222 Kobarid, Slovenija;05 384 10 00
pinjenec;S939;500g;1,18 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Mlekarna Planika d.o.o.;11175;Gregorèièeva 32, 5222 Kobarid, Slovenija;05 384 10 00
kislo mleko, 1,1%m.m.;S1017;500g;1,21 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Mlekarna Planika d.o.o.;11175;Gregorèièeva 32, 5222 Kobarid, Slovenija;05 384 10 00
sveže mleko, 3,5%m.m.;S1029;1l;1,25 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Mlekarna Planika d.o.o.;11175;Gregorèièeva 32, 5222 Kobarid, Slovenija;05 384 10 00
sveže mleko, 1,5%m.m.;S1032;1l;1,18 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Mlekarna Planika d.o.o.;11175;Gregorèièeva 32, 5222 Kobarid, Slovenija;05 384 10 00
sveže mleko, 3,5%m.m., steklenica;S1044;1l;1,51 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Mlekarna Planika d.o.o.;11175;Gregorèièeva 32, 5222 Kobarid, Slovenija;05 384 10 00
bio sveže mleko, 3,5%m.m.;S1056;1l;1,43 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Mlekarna Planika d.o.o.;11175;Gregorèièeva 32, 5222 Kobarid, Slovenija;05 384 10 00
sveže mleko, 3,5%m.m.;S1083;500ml;0,75 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Mlekarna Planika d.o.o.;11175;Gregorèièeva 32, 5222 Kobarid, Slovenija;05 384 10 00
kefir, 1,1%m.m.;S1215;500g;1,33 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Mlekarna Planika d.o.o.;11175;Gregorèièeva 32, 5222 Kobarid, Slovenija;05 384 10 00
paradižnik èešnjev koktel;S276;1kg;3,98 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Osatina Grupa d.o.o.;11179;Kralja Tomislava 91, 31402 Semeljci, Hrvaška;00385 31 856 999
pišèanèji file, prsi;S597;1kg;8,37 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Panvita Agromerkur d.o.o.;11183;Industrijska ulica 8, 9000 Murska Sobota, Slovenija;02 543 92 60
pišèanèja nabodala s sirom;S672;1kg;11,51 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Panvita Agromerkur d.o.o.;11183;Industrijska ulica 8, 9000 Murska Sobota, Slovenija;02 543 92 60
sarajevski èevapèièi;S720;480g;4,89 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Panvita MIR d.d.;11187;Ljutomerska c. 28a, 9250 Gornja Radgona, Slovenija;02 564 91 40
sarajevska pleskavica;S723;480g;4,89 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Panvita MIR d.d.;11187;Ljutomerska c. 28a, 9250 Gornja Radgona, Slovenija;02 564 91 40
èevapèièi teleèji;S750;480g;4,99 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Panvita MIR d.d.;11187;Ljutomerska c. 28a, 9250 Gornja Radgona, Slovenija;02 564 91 40
paradižnik volovsko srce lušt;S255;1kg;4,79 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Paradajz d.o.o.;11195;Renkovci 57 c, 9224 Turnišèe, Slovenija;02 572 22 50
paradižnik v grozd lušt, slovenija;S285;1kg;3,49 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Paradajz d.o.o.;11195;Renkovci 57 c, 9224 Turnišèe, Slovenija;02 572 22 50
puranji file;S570;1kg;12,09 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;11191;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00
pišèanèje meso po italjansko;S582;1kg;6,79 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;11191;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00
puranja pleskavica;S585;480g;4,75 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;11191;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00
fit nabodalca;S612;400g;4,79 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;11191;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00
pikantna nabodalca;S615;400g;4,79 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;11191;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00
pišèanèji file zrezek;S621;450g;5,79 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;11191;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00
pišèanèji file mala mišica;S624;1kg;12,48 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;11191;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00
bbq krilca;S627;500g;3,59 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;11191;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00
puranji èevapèièi;S630;480g;4,79 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;11191;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00
pišèanèji trakci;S633;400g;4,79 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;11191;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00
pišèanec razrezan za pohanje;S636;1kg;5,59 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;11191;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00
pišèanèje peruti z marinaro;S639;1kg;5,61 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;11191;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00
pišèanèji kebab;S642;500g;4,89 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;11191;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00
vok okus jeseni;S645;500g;5,89 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;11191;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00
vok okus poletja;S648;500g;5,89 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;11191;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00
puranji bbq steak;S651;550g;6,25 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;11191;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00
pišèanec z dodano drobovino, natur premium;S654;1kg;5,89 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;11191;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00
pišèanèji file, natur premium;S657;500g;5,89 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;11191;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00
pišèanèje kraèe, natur premium;S660;500g;3,89 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;11191;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00
pišèanèji èevapèièi;S663;400g;4,09 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;11191;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00
pišèanèje pleskavice;S666;400g;4,09 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;11191;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00
mediteranski pišèanec natur premium;S678;1kg;5,89 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;11191;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00
pišèanèji ražnièi piknik;S681;1kg;13,23 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;11191;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00
pišèanèji ražnièi coctail piknik;S684;360g;4,69 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;11191;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00
puranji file zrezek natur;S687;400g;5,49 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;11191;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00
puranji medaljoni natur;S690;400g;4,79 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;11191;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00
puranje kraèe natur;S693;400g;2,09 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;11191;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00
puranji zrezki stegna natur;S696;500g;4,69 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;11191;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00
puranje delikatesne peruti natur;S699;500g;3,65 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;11191;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00
puranja stegna kocke natur;S702;500g;4,69 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;11191;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00
puranja srca in jetra natur;S705;500g;2,09 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;11191;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00
pišèanèja stegna brez kosti in kože, natur premium;S714;1kg;11,78 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;11191;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00
zrezek iz pišèanjih beder;S747;1kg;8,98 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Perutnina Ptuj, d.d.;11191;Potrèeva cesta 10, 2250 Ptuj, Slovenija;02 749 01 00
razkosan kunec;S543;600g;12,40 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Pivka perutninarstvo d.d.;11203;Kal 1, 6257 Pivka, Slovenija;05 703 10 00
kunèke meso;S546;500g;11,59 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Pivka perutninarstvo d.d.;11203;Kal 1, 6257 Pivka, Slovenija;05 703 10 00
polovica zaèinjenega pišèanca za peko;S573;1kg;6,69 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Pivka perutninarstvo d.d.;11203;Kal 1, 6257 Pivka, Slovenija;05 703 10 00
nadevan pišèanec za peko;S576;1kg;6,19 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Pivka perutninarstvo d.d.;11203;Kal 1, 6257 Pivka, Slovenija;05 703 10 00
pišèanèji file, prsi;S588;500g;5,68 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Pivka perutninarstvo d.d.;11203;Kal 1, 6257 Pivka, Slovenija;05 703 10 00
pišèanèje kraèe;S591;1kg;6,58 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Pivka perutninarstvo d.d.;11203;Kal 1, 6257 Pivka, Slovenija;05 703 10 00
pišèanèja drobovina;S594;1kg;3,88 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Pivka perutninarstvo d.d.;11203;Kal 1, 6257 Pivka, Slovenija;05 703 10 00
pišèanèji èevapèièi;S609;400g;3,69 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Pivka perutninarstvo d.d.;11203;Kal 1, 6257 Pivka, Slovenija;05 703 10 00
pišèanèji zrezki;S618;500g;4,99 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Pivka perutninarstvo d.d.;11203;Kal 1, 6257 Pivka, Slovenija;05 703 10 00
pišèanèje peruti;S669;600g;3,65 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Pivka perutninarstvo d.d.;11203;Kal 1, 6257 Pivka, Slovenija;05 703 10 00
pišèanèja bedra;S726;1kg;6,09 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Pivka perutninarstvo d.d.;11203;Kal 1, 6257 Pivka, Slovenija;05 703 10 00
pišèanèje kraèe;S729;1kg;5,79 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Pivka perutninarstvo d.d.;11203;Kal 1, 6257 Pivka, Slovenija;05 703 10 00
pišèanèja stegna;S732;1kg;5,19 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Pivka perutninarstvo d.d.;11203;Kal 1, 6257 Pivka, Slovenija;05 703 10 00
naravni pinjenec, 0,5%m.m.;S888;220g;0,38 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Pomurske mlekarne d.d.;11207;Industrijska ulica 10, 9000 Murska Sobota, Slovenija;02 536 12 23
pinjenec sadni, bezek in limona, 0,4%m.m.;S891;220g;0,42 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Pomurske mlekarne d.d.;11207;Industrijska ulica 10, 9000 Murska Sobota, Slovenija;02 536 12 23
ledena kava;S894;1l;1,33 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Pomurske mlekarne d.d.;11207;Industrijska ulica 10, 9000 Murska Sobota, Slovenija;02 536 12 23
èokoladno mleko;S900;200ml;0,43 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Pomurske mlekarne d.d.;11207;Industrijska ulica 10, 9000 Murska Sobota, Slovenija;02 536 12 23
pinjenec ananas, 0,4%m.m.;S909;220g;0,42 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Pomurske mlekarne d.d.;11207;Industrijska ulica 10, 9000 Murska Sobota, Slovenija;02 536 12 23
pinjenec višnja, 0,4%m.m.;S912;220g;0,42 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Pomurske mlekarne d.d.;11207;Industrijska ulica 10, 9000 Murska Sobota, Slovenija;02 536 12 23
pinjenec sadni, jagoda, 0,4%m.m.;S936;220g;0,42 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Pomurske mlekarne d.d.;11207;Industrijska ulica 10, 9000 Murska Sobota, Slovenija;02 536 12 23
pomursko mlejko, 3,5%m.m.;S1134;1l;1,03 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Pomurske mlekarne d.d.;11207;Industrijska ulica 10, 9000 Murska Sobota, Slovenija;02 536 12 23
mleko, lejko mlejko, 1,5%m.m.;S1152;1l;0,98 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Pomurske mlekarne d.d.;11207;Industrijska ulica 10, 9000 Murska Sobota, Slovenija;02 536 12 23
mleko milki, 3,5%m.m.;S1227;200ml;0,36 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Pomurske mlekarne d.d.;11207;Industrijska ulica 10, 9000 Murska Sobota, Slovenija;02 536 12 23
polnomastno mleko v prahu;S1230;500g;6,08 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Pomurske mlekarne d.d.;11207;Industrijska ulica 10, 9000 Murska Sobota, Slovenija;02 536 12 23
posneto mleko v prahu;S1233;400g;3,57 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Pomurske mlekarne d.d.;11207;Industrijska ulica 10, 9000 Murska Sobota, Slovenija;02 536 12 23
krila pišèanèje;S600;1kg;6,19 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Prehrambena industrija VINDIJA d.d.;11211;Meðimurska 6, 42000 Varadžin, Hrvaška;042 399 999
file puranji;S606;1kg;8,98 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Prehrambena industrija VINDIJA d.d.;11211;Meðimurska 6, 42000 Varadžin, Hrvaška;042 399 999
èokoladno mleko;S897;1l;1,12 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Prehrambena industrija VINDIJA d.d.;11211;Meðimurska 6, 42000 Varadžin, Hrvaška;042 399 999
èokoladno mleko;S951;500ml;0,74 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Prehrambena industrija VINDIJA d.d.;11211;Meðimurska 6, 42000 Varadžin, Hrvaška;042 399 999
èokoladno mleko;S954;200ml;0,44 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Prehrambena industrija VINDIJA d.d.;11211;Meðimurska 6, 42000 Varadžin, Hrvaška;042 399 999
kefir vindija;S1146;200g;0,50 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Prehrambena industrija VINDIJA d.d.;11211;Meðimurska 6, 42000 Varadžin, Hrvaška;042 399 999
kefir vindija, 3,5%m.m.;S1167;400g;0,86 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Prehrambena industrija VINDIJA d.d.;11211;Meðimurska 6, 42000 Varadžin, Hrvaška;042 399 999
kefir light vindija;S1248;200g;0,51 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Prehrambena industrija VINDIJA d.d.;11211;Meðimurska 6, 42000 Varadžin, Hrvaška;042 399 999
kefir z bregov vindija, 3,5%m.m.;S1293;1l;1,42 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Prehrambena industrija VINDIJA d.d.;11211;Meðimurska 6, 42000 Varadžin, Hrvaška;042 399 999
